transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T4999,U018,2023-04-25,Expense,education,3888,Card,Ahmedabad,Training program
T12828,U133,08/05/2022,Expense,rent,649,Unknown,Hyderabad,Rent transfer
T7403,U091,31-12-23,Income,freelance,13239,Csh,Ban,Website project
T12350,U097,,Expense,food,6299,Bank Transfer,Ahmedabad,Food delivery
T7495,U088,10/28/2022,Expense,entertainment,2287,Card,Hyderabad,Netflix subscription
T12465,U042,04/11/2024,Expense,food,4168,Unknown,Unknown,Dominos pizza
T4518,U026,08/16/2022,Expense,education,Rs.828,Crd,Lucknow,School fees
T9824,U061,2024-12-12,Income,salary,62061,Crd,Ahm,Company payroll
T0741,U053,13-03-24,Expense,utilities,₹5070,Upi,Kol,Electricity bill
T12403,U004,11/10/2023,Income,others,59543,Upi,Luc,Other payment
T5282,U016,2022-04-15,Expense,utilities,999999999,Crd,Del,Broadband bill
T6861,U112,2021-04-18,Expense,utilities,$4262,Upi,Ahm,Broadband bill
T9446,U006,06/29/2022,Expense,utilities,5767,Bank Transfer,Bangalore,Internet bill
T3016,U099,02/24/2022,Expense,rent,23760,Crd,Bangalore,Flat rent
T11564,U148,08/28/2023,Expense,food,898,Upi,Luc,Cafe breakfast
T11382,U111,02-06-23,Income,freelance,25143,Card,Chennai,Client payment
T3133,U024,17-07-24,Expense,rent,9567,Bank Transfer,Pune,Accommodation rent
T1982,U089,2021-02-27,Income,others,49683,Unknown,Lucknow,Misc expense
T7154,U039,21-09-2024,Expense,food,222,Upi,Bangalore,Zomato order
T2699,U092,25-02-23,Expense,travel,₹2553,Upi,Luc,Flight booking
T5774,U005,2021-02-14,Expense,food,7406,Card,Bangalore,Dominos pizza
T12850,U076,06/09/2021,Expense,rent,3010,Upi,Kol,PG rent
T5770,U107,,Expense,health,4846,Csh,Che,Doctor consultation
T6195,U038,20-11-2024,Income,salary,855881,Banktransfer,Jaipur,Company payroll
T12096,U075,,Expense,food,4452,Card,Ban,Starbucks coffee
T5731,U027,2023-02-04,Expense,food,2206,Bank_Transfer,Unknown,Family dinner
T0909,U013,2024-04-20,Expense,entertainment,7038,Card,Jai,Weekend movie
T7565,U075,24-01-22,Expense,travel,4286,Banktransfer,Hyderabad,Uber ride
T1653,U099,2024-12-16,Expense,education,8119,Card,Hyderabad,Online course
T6239,U150,28-12-21,Expense,education,₹4189,Card,Bangalore,Library fees
T2849,U150,2022-10-10,Income,investment,19947,Bank Transfr,Lucknow,SIP investment
T3127,U023,2021-05-22,Expense,food,5107 INR,Upi,Unknown,Food delivery
T4949,U101,03-01-23,Expense,food,3865,Banktransfer,Jai,Starbucks coffee
T3563,U007,05-05-21,Expense,travel,2407,Crd,Che,Train ticket
T10891,U055,09/08/2024,Expense,food,3085,Card,Jaipur,Lunch at restaurant
T10872,U080,2023-02-22,Expense,health,5252,Unknown,Delhi,Hospital bill
T6786,U017,12/15/2022,Expense,rent,1380 INR,Bank Transfr,Hyderabad,Accommodation rent
T3396,U136,22-09-2021,Expense,rent,$7619,Csh,Pune,Monthly house rent
T1215,U150,29-12-23,Expense,others,4823,Cash,Ahmedabad,General expense
T5293,U044,23-02-21,Expense,health,8497,Unknown,Kolkata,Medical test
T12220,U122,11/14/2023,Expense,food,999999,Upi,Luc,Burger King meal
T2003,U149,04/15/2021,Expense,travel,8241,Upi,Unknown,Metro recharge
T9452,U062,24-09-23,Expense,rent,8579,Bank Transfer,Ahmedabad,Flat rent
